1810019J16Rik	0.195495	0.0183342	-0.0487999	-0.169636	0.254205	-0.0136908	-0.278843	0.0179174	0.0935016	0.0613622	-0.283869	-0.0209363	0.343	0.110983	-0.209555	-0.023166	-0.0645468	-0.0172462	-0.503555	-1.39946	0.123541	-0.00849293	-0.349398	-0.70702	0.128463	-0.0390959	-0.42153	-0.654781	0.142891	-0.394027	-0.704254	-1.12507	0.11088	-0.117498	-0.604351	-0.797139	0.0898285	-0.242915	-1.02841	-1.54808	0.0323208	-0.2653	-1.78937	-0.020348	-0.106621	-0.965064	-1.64038	0.00597613	-0.332546	-1.49355	-1.69708
Esrp2	0.239314	-0.0931607	-0.228442	0.21828	0.125235	-0.0763404	-0.222426	0.153174	-0.055261	-0.0422368	-0.274248	0.132639	0.32565	-0.172137	0.078937	0.0483309	-0.00216083	-0.228073	-0.519968	-1.39482	-0.0325582	0.0642079	-0.238006	-0.600146	-0.0438282	-0.119093	-0.159006	-0.934464	-0.058775	-0.210885	-0.574431	-1.84846	-0.161303	0.299031	-0.215407	-0.788436	-0.330269	0.27492	-0.685349	-1.80047	-0.417901	-0.360089	-1.45226	-0.0947472	-0.109377	-0.588787	-1.42701	-0.0658174	-0.162207	-1.38624	-1.73287
Ccdc64b	-0.162884	-0.310151	-0.248373	0.0056014	-0.169431	-0.346926	-0.229506	-0.439817	-0.12172	-0.350333	-0.320632	-0.238712	0.00569679	-0.306637	-0.159459	-0.377809	0.00829097	-0.245709	-0.490758	-1.04963	0.0514959	-0.0368661	-0.0163115	-0.529367	0.0910957	-0.0874082	-0.2112	-0.410662	-0.012868	-0.0969463	-0.305311	-1.21462	-0.0814752	-0.098264	-0.288955	-0.454164	-0.28574	-0.176458	-0.547987	-1.19271	-0.301094	-0.152952	-1.34189	-0.130781	-0.0832286	-0.309224	-1.18802	0.0910256	0.0372556	-0.847828	-1.069
Tmem184a	-0.141284	-0.0707625	-0.113068	0.105014	-0.124299	-0.0689253	-0.0374559	-0.113837	-0.0336199	0.0221153	-0.00104482	-0.0298593	0.146804	0.0283306	-0.0389284	-0.113837	-0.0526696	-0.00535685	-0.290964	-1.20159	-0.00619987	0.0157382	-0.136717	-0.575778	0.0490183	0.136435	-0.249037	-0.451924	0.219801	0.141932	-0.570334	-1.25902	-0.0506542	0.083198	-0.372397	-0.473842	-0.136685	0.0637849	-0.620958	-1.43721	-0.2451	-0.257093	-1.2978	-0.0514133	-0.101191	-0.694225	-1.46189	-0.0611392	-0.204252	-0.943835	-1.43708
Wnk4	-0.119781	-0.119194	-0.293697	0.137101	-0.158186	0.121784	-0.209406	-0.108363	-0.163161	0.146466	-0.4437	0.0662957	0.165179	0.136059	-0.333711	-0.0413454	-0.275935	-0.204205	-0.435398	-1.03885	0.0447172	-0.0269443	-0.419604	-0.740266	0.0750656	0.234186	-0.182106	-0.293756	-0.0628243	0.232409	-0.232691	-0.83841	-0.158173	0.13803	-0.165526	-0.456967	-0.41359	-0.158676	-0.515793	-1.18181	-0.543662	-0.634779	-1.09001	-0.189247	-0.133222	-0.370805	-0.810491	-0.205157	-0.404921	-0.613017	-0.991517
Tfcp2l1	0.587157	-0.250663	-0.897383	-0.583887	0.258035	0.0935345	-0.868002	-0.688522	-0.159685	-0.149081	-1.28811	-0.437753	0.321781	-0.0721272	-0.776804	-0.241328	-0.280095	-0.5684	-0.91002	-1.47581	-0.0873129	-0.164922	-0.34122	-0.808747	-0.0242522	0.0108124	-0.457675	-0.687262	-0.351387	0.126684	-0.391013	-0.997676	0.0350413	-0.176832	-0.402865	-1.01227	-0.0699139	-0.301853	-0.971843	-2.25988	-0.113129	-0.13269	-1.87801	0.054446	-0.200278	-0.834362	-1.60947	-0.0443247	-0.99128	-1.52428	-2.89365
Elmo3	0.169467	-0.00245566	-0.263841	-0.265891	0.0643	-0.0465585	-0.451189	-0.184056	0.0254534	-0.00619918	-0.707745	-0.163183	0.173199	-0.283826	-0.393991	-0.215402	0.0177042	-0.286817	-0.538552	-1.11071	0.0171322	0.0129097	-0.336652	-0.630655	-0.101934	-0.0559891	-0.399904	-0.56627	-0.0796888	-0.161515	-0.551639	-1.63818	-0.143025	-0.0441121	-0.327355	-0.826242	-0.159759	-0.272569	-0.890939	-1.80614	-0.214741	-0.370643	-1.38925	-0.00158033	-0.3365	-0.560747	-1.4285	-0.119903	-0.61372	-1.07452	-1.3948
Gprc5a	-0.0511448	0.115341	-0.490524	-0.78801	-0.15139	-0.0203161	-0.747867	-0.624784	-0.114942	-0.0677567	-0.769183	-0.546031	-0.12314	-0.350672	-0.581206	-0.628755	-0.0745467	-0.635519	-1.04968	-1.77572	0.0480475	-0.259744	-0.914099	-1.31124	0.0549417	-0.340245	-0.814994	-1.26622	-0.28171	-0.804663	-1.24309	-2.36506	-0.107279	-0.410414	-0.98095	-1.118	-0.0928064	-0.599328	-1.32344	-1.53679	-0.346955	-0.797475	-1.79769	-0.0532799	-0.405105	-1.50977	-1.67528	-0.0380425	-1.03583	-1.82079	-1.99844
Eps8l2	0.294605	-0.0848242	-0.364111	-0.32381	0.178239	-0.150468	-0.372414	-0.133212	0.226872	-0.228227	-0.518638	-0.00129371	0.0436971	-0.481084	-0.384371	-0.0872733	-0.116945	-0.461827	-0.551496	-0.791706	-0.182582	-0.196633	-0.375159	-0.790476	-0.309386	-0.356604	-0.882665	-0.483834	-0.402016	-0.314042	-0.602041	-1.32585	-0.180869	0.138585	-0.575809	-0.5898	-0.372209	-0.180959	-0.955372	-0.822128	-0.421983	-0.0451186	-1.32752	-0.0393231	-0.350979	-0.517216	-1.27375	-0.106475	-0.414938	-0.884637	-1.31186
Gprc5c	0.0407179	-0.116965	-0.215184	-0.227932	-0.00444523	-0.143921	-0.0910689	-0.15857	-0.0605123	-0.0600705	-0.321759	-0.222856	-0.00746375	0.00029269	-0.293533	-0.135927	-0.0929892	-0.305053	-0.608815	-1.11484	0.0817819	0.360025	0.0481853	-0.730833	0.281782	0.0396416	-0.117253	-0.683427	-0.153878	0.067736	-0.216808	-1.0424	-0.177512	0.0530531	-0.335261	-0.695184	-0.283937	-0.270103	-0.729926	-1.08689	-0.464242	-0.201814	-0.894386	0.118715	-0.267774	-0.545989	-0.863517	-0.0255344	-0.488506	-0.632048	-1.00926
