GAT3(YLR013W)	-0.817752	-2.35562	-2.13789	-2.14043	0.182235	-4.26419	-1.67316	-1.60157	0.033299
Dummy29	-999	-999	-999	-999	-999	-999	-999	-999	-999
GCR1(YPL075W)	-0.713687	0.75511	-0.312744	0.860352	-2.60546	1.9332	1.71851	-0.799267	2.40333
Dummy30	-999	-999	-999	-999	-999	-999	-999	-999	-999
GIS2(YNL255C)	-2.24227	-2.96727	0.280015	-1.39947	-6.43042	-0.335104	-4.03151	0.689217	2.38821
Dummy31	-999	-999	-999	-999	-999	-999	-999	-999	-999
GLN3(YER040W)	-1.33765	0.001904	1.782	1.15335	-1.2752	1.27513	-1.45412	0.385457	2.52949
Dummy32	-999	-999	-999	-999	-999	-999	-999	-999	-999
GZF3(YJL110C)	-0.925131	-1.10248	-1.09382	-1.28947	-0.383102	-0.038684	-4.11316	-3.10596	0.377311
Dummy33	-999	-999	-999	-999	-999	-999	-999	-999	-999
HIR2(YOR038C)	-0.452499	-0.172419	-0.408268	-0.444582	-0.106006	-0.110754	0.427524	-1.44642	0.316717
Dummy34	-999	-999	-999	-999	-999	-999	-999	-999	-999
HOS1(YPR068C)	-2.66674	-0.776736	-3.89421	-6.1796	0.753933	-0.599446	0.454611	-1.30212	1.73035
Dummy35	-999	-999	-999	-999	-999	-999	-999	-999	-999
HOS3(YPL116W)	-1.21868	-0.24405	0.710709	1.04581	-0.347147	0.81313	0.110731	0.326288	0.574085
Dummy36	-999	-999	-999	-999	-999	-999	-999	-999	-999
HPR1(YDR138W)	-0.724329	-0.46486	-1.4307	-0.893819	-0.50769	-0.434321	-8.50961	-0.643611	0.560514
Dummy37	-999	-999	-999	-999	-999	-999	-999	-999	-999
HSF1(YGL073W)	-1.49078	-0.889867	-2.55776	-2.68218	-1.5592	-0.086921	-0.425492	-1.5221	0.605413
Dummy38	-999	-999	-999	-999	-999	-999	-999	-999	-999
HTB2(YBL002W)	-0.582792	0.791269	1.31208	1.26075	1.01517	1.874	1.35016	1.93917	1.32818
Dummy39	-999	-999	-999	-999	-999	-999	-999	-999	-999
IBA57(YJR122W)	-7.66687	2.5291	5.11609	4.60666	1.40257	3.48858	4.75828	4.00238	3.28853
Dummy40	-999	-999	-999	-999	-999	-999	-999	-999	-999
INO4(YOL108C)	-4.02754	-3.25483	-2.81229	-3.17617	0.812587	2.55697	-0.077966	-2.03098	1.72066
Dummy41	-999	-999	-999	-999	-999	-999	-999	-999	-999
INO80(YGL150C)	-3.48781	-4.23692	-1.25536	-7.93617	-3.62366	-1.52968	-1.90179	-1.39485	1.64874
Dummy42	-999	-999	-999	-999	-999	-999	-999	-999	-999
IOC3(YFR013W)	-1.54501	-0.337843	-0.856434	-0.880614	-0.193463	0.425822	-0.618382	0.18416	0.77655
