ABCD1	-0.229189	0.0432356	0.158904	0.381827	0.158414	0.254264	0.326542	0.191636	-0.157929	-0.0283423	0.309821	-0.236621	-0.648012	-0.386792	-0.446373	-0.16377	0.134921	-0.552481	-0.0468486	-0.604057	-0.430215	-0.289335	0.00998618	-0.254955	-0.0196215	-0.74482	-1.62226	-1.76965	0.0820556	-0.232115	-0.140401	0.322112	0.879553	0.796707	0.0293024	-0.284281	0.156385	-0.821563	-2.29295	-3.44628	-0.0550115	-4.03831	-0.168423	-2.46938	-0.0439697	0.0199207	0.0669483	-0.0917627	-1.74097	-2.44418
ABCD4	0.0939543	-0.0742764	-0.0568837	-0.263496	-0.458246	-0.401123	-0.421606	-0.461213	-0.237142	-0.038696	-0.00864981	0.0178332	-0.0750712	-0.0970841	-0.122917	-0.276933	-0.353176	-0.349885	0.0305551	0.029576	-0.127026	-0.305137	0.0941196	-0.253203	-0.226457	-0.413036	-0.790729	-1.03602	-0.089284	0.0789425	-0.0620922	0.137301	0.682675	0.78711	0.0167488	-0.0434864	-0.340397	-0.660591	-1.45552	-1.27725	-0.262048	-1.12161	-0.164392	-1.27725	0.0834105	-0.205946	-0.0762916	-0.306128	-0.607716	-0.829859
ABCF1	-0.0149174	0.0219663	-0.273912	-0.66383	-0.362411	-0.095027	0.166368	-0.128838	-0.533896	0.0543915	0.0810441	-0.0781283	-0.409427	-0.341467	-0.321811	-0.0489886	0.0820224	0.0664466	-0.0473487	-0.535871	-0.332943	0.0506268	-0.0810041	-0.0710655	-0.463311	-0.762895	-1.42568	-1.54072	0.234352	-0.113046	-0.19428	-0.54903	-0.0914155	0.267816	-0.107815	-0.0841155	0.0581702	-1.35367	-2.20796	-2.236	-0.328981	-2.02692	-0.185736	-1.82406	-0.165856	-0.0624561	-0.00486704	-0.286305	-1.1396	-1.51434
ABCF2	0.00119229	-0.102995	-0.376536	-0.619122	-0.292983	0.366173	0.562642	0.381471	-0.265918	-0.0894881	0.0652201	-0.212467	-0.24008	-0.253352	-0.0328755	0.0851119	0.309916	0.563843	-0.06699	-0.435077	-0.195619	0.59576	-0.0746492	-0.204056	-0.564281	-0.916442	-1.30542	-1.12228	0.146163	-0.0351583	-0.487692	-0.462228	0.0776949	-0.019284	-0.132618	-0.0930456	0.0944118	-1.72884	-2.58707	-3.41783	-0.530848	-1.84185	-0.31595	-1.19704	-0.0882479	-0.164473	-0.179735	-0.270514	-1.30199	-1.70783
ABHD10	0.251953	0.0310961	-0.306808	-0.389375	-0.587618	0.102646	0.431822	0.372694	0.332654	-0.147436	0.158406	-0.186848	0.210438	-0.284422	-0.240717	-0.0766884	-0.218747	0.539196	-0.176599	0.0758911	-0.0164169	0.0571583	0.0189393	-0.0929792	-0.829857	-0.722187	-1.44715	-1.46593	-0.212014	0.00536689	-0.106506	0.0934836	0.79784	0.965469	0.248579	0.304909	-0.758346	-2.15301	-3.45876	-2.92216	-1.12314	-1.03919	-0.442193	-1.92667	0.0350116	-0.00612874	-0.641988	-0.651683	-2.48701	-1.10657
ABHD16A	-0.155043	-0.0730209	-0.00101651	-0.0779816	-0.187916	0.0399489	-0.241619	-0.358914	0.0516247	-0.0476262	0.0471419	-0.332526	-0.181739	-0.140958	-0.238608	-0.227764	-0.0874787	-0.0748876	-0.130471	-0.260959	-0.370462	-0.0803784	-0.131619	-0.139675	-0.374452	-0.511196	-1.05194	-1.26422	0.175301	-0.326383	-0.274693	-0.403183	0.474418	0.936815	-0.175162	-0.247494	-0.00395427	-1.38332	-2.0615	-1.38009	-0.457901	-2.13996	-0.248784	-2.03394	-0.0188876	0.0326469	-0.265811	-0.34586	-0.858352	-0.746155
ABHD3	0.276767	0.0759555	0.170788	-0.165079	-0.527706	-0.0184397	0.121998	0.0795726	0.126938	0.00508589	-0.0136619	-0.116547	0.0905134	0.0844596	-0.0454014	0.033229	0.0787763	0.230609	-0.157416	0.208247	-0.107952	0.406626	-0.116655	-0.0422351	-0.243865	-0.609533	-0.60306	-0.261346	-0.0669099	-0.084047	-0.123556	-0.694722	0.211856	0.25296	0.275009	0.0424708	-0.343292	-0.544829	-1.93851	-1.64702	-0.396122	-0.413912	0.000206201	-0.392701	-0.157761	0.0423588	-0.198735	-0.13174	-0.39697	0.348703
ABHD6	0.0667524	-0.0845666	-0.122681	-0.581386	-0.628138	-0.242795	0.172426	0.0281535	-0.115161	0.039342	-0.0904459	-0.00478906	-0.00263845	-0.0213011	-0.0791345	-0.0648563	-0.0554146	-0.0690103	0.0328496	-0.0998172	-0.186985	0.12367	0.110735	-0.303362	-0.403572	-0.237914	-0.452317	-0.395058	-0.122916	0.0713565	0.185049	0.596871	0.17393	-0.155737	0.0306224	-0.0453155	-0.117663	-0.364831	-0.432873	-0.500379	-0.0564174	-0.849505	-0.0290539	-1.12149	0.0139132	-0.153669	-0.0704779	0.0331846	-0.418971	-0.575047
ABL2	-0.0226427	0.0457867	-0.585735	-0.406422	0.400445	0.65086	1.17966	1.23401	1.41184	-0.116478	-0.2593	-0.233201	-0.0474213	-0.110755	0.0146618	0.180983	0.503079	1.11941	0.0048504	-0.255676	0.238927	0.754472	-0.0615198	0.267407	-0.912445	-1.34005	-1.63291	-1.78645	0.603596	0.16839	-0.361279	-0.517858	0.0766405	1.0086	0.0107454	0.0181105	-0.605648	-1.4392	-1.88024	-2.13694	-0.985844	-1.45941	-0.698508	-1.85358	-0.0154217	0.218353	-0.313739	-0.615769	-2.19725	-1.83612
ABTB2	-0.0386764	-0.0762453	-0.43165	-0.446925	-0.0345019	0.543882	1.1552	1.28148	1.41917	-0.113059	-0.0650921	-0.0511029	-0.391977	-0.0446205	-0.0696324	0.021366	0.284646	0.575861	0.0340386	-0.389084	-0.0989502	0.543813	-0.131232	0.0253709	-0.880149	-1.92032	-2.20347	-1.33528	0.139801	-0.0126849	-0.195539	0.482852	1.70739	2.38681	-0.0747492	-0.0275046	-0.550499	-1.75508	-1.22121	-0.18913	-0.799801	0.0493546	-0.351828	-0.338697	-0.134764	0.0719134	-0.38807	-0.940528	-1.2717	-0.594967
ACAD9	-0.241208	-0.21192	-0.298191	-0.271517	-0.369135	-0.447104	-0.600773	-0.864437	-0.878951	-0.0744407	0.0311016	-0.537275	-0.33352	-0.269107	-0.0623331	-0.216323	-0.257069	-0.269868	-0.154371	-0.463853	-0.216099	-0.43134	-0.32752	0.0951357	-0.722737	-1.10701	-1.36083	-1.38365	0.30158	-0.145065	-0.311422	-0.924731	-1.20971	-0.699997	-0.209937	-0.16894	-0.634637	-0.956645	-1.92664	-2.40441	-0.578035	-1.69544	-0.507835	-1.32988	-0.439134	0.0365516	-0.38748	-0.0743093	-1.35786	-0.835256
ACADS	-0.182344	0.0146199	-0.120617	-0.156891	0.0989124	-0.265957	-0.151321	-0.0156679	0.0697408	0.155758	0.16219	-0.245834	-0.518061	-0.244955	-0.180806	-0.971614	-0.66801	-0.819798	0.265849	-0.487622	-0.716134	-0.886226	-0.0129867	0.176653	-0.0151829	-0.402859	-1.04779	-1.15492	0.251021	-0.176884	-0.431317	-0.57886	-0.286127	-0.0843537	-0.479606	-0.557153	-0.643287	-1.31313	-2.21251	-1.89336	0.231711	-1.35216	-0.331402	-1.34122	-0.0983212	0.354016	0.114656	-0.340505	-1.09728	-0.680547
ACD	-0.235163	0.0834175	-0.164438	-0.386333	-0.299009	-0.604745	-0.337045	-0.408167	0.0389766	-0.102908	0.104139	-0.131573	-0.312881	-0.170416	-0.277978	-0.318721	-0.0736699	-0.0152353	-0.0180509	-0.249225	-0.199224	0.0576707	0.00286421	-0.018629	-0.0397772	-0.429916	-0.489088	-0.680026	0.246883	-0.264833	-0.0543409	-0.281648	-0.59699	-0.403756	-0.0473251	-0.0897525	-0.0396808	-0.20854	-0.451057	-1.24242	0	-0.970876	-0.0499704	-0.493388	-0.126414	0.0298877	0.0837869	-0.0148155	-0.102282	-0.337084
ACLY	0.23039	0.00934101	0.0549149	-0.442459	-0.487348	-0.00632479	0.0466249	-0.0715594	0.118054	-0.00106993	0.449709	-0.202459	-0.20201	-0.134449	-0.365924	-0.165778	0.187694	0.184008	-0.171699	-0.182147	-0.14972	0.331005	0.00053717	-0.18408	-0.707699	-1.08719	-1.1322	-1.23715	0.148706	-0.429142	-0.287004	-1.04281	-1.1278	-1.24857	0.0271355	-0.218622	-0.88264	-0.981592	-1.9575	-2.05013	-0.608713	-1.49207	-0.347824	-1.45882	0.00535066	-0.027223	-0.428313	-0.590347	-1.29223	-0.689709
